lncRNA,miRNA,gene,immune_cell,algo,r_lnc,p_lnc,r_miR,p_miR,r_gene,p_gene,cancer
LINC00460,MIR149,HLA-C,NK.cell,MCPCOUNTER,0.45030859,1.30E-22,-0.191309082,7.22E-05,0.527743196,7.57E-32,BLCA
LINC00460,MIR149,HLA-C,Monocyte,MCPCOUNTER,0.520090149,7.95E-31,-0.263404369,3.55E-08,0.52932063,4.62E-32,BLCA
LINC00460,MIR149,HLA-C,Myeloid.dendritic.cell,MCPCOUNTER,0.280809184,3.84E-09,-0.142726848,0.003189749,0.3044281,1.45E-10,BLCA
LINC00460,MIR149,HLA-C,Cancer.associated.fibroblast,MCPCOUNTER,0.407743305,1.87E-18,-0.188195099,9.49E-05,0.193424052,5.98E-05,BLCA
LINC00460,MIR149,HLA-C,Myeloid.dendritic.cell,XCELL,0.35012803,1.06E-13,-0.154813882,0.001367175,0.436181831,3.63E-21,BLCA
LINC00460,MIR149,HLA-C,Eosinophil,XCELL,-0.311510426,5.13E-11,0.237535697,7.29E-07,-0.243443271,3.76E-07,BLCA
LINC00460,MIR149,HLA-C,Macrophage,XCELL,0.549383977,7.00E-35,-0.240586682,5.19E-07,0.550166988,5.38E-35,BLCA
LINC00460,MIR149,HLA-C,Monocyte,XCELL,0.42639568,3.33E-20,-0.161818057,0.000813288,0.372062817,2.12E-15,BLCA
LINC00460,MIR149,HLA-C,immune.score,XCELL,0.366608475,5.76E-15,-0.140972175,0.003588779,0.475400728,2.38E-25,BLCA
LINC00460,MIR149,HLA-C,microenvironment.score,XCELL,0.298677772,3.32E-10,-0.130620813,0.007008337,0.34059058,5.29E-13,BLCA
LINC00460,MIR149,HLA-C,Cancer.associated.fibroblast,EPIC,0.387339152,1.16E-16,-0.137954224,0.004382131,0.203808444,2.30E-05,BLCA
LINC00460,MIR149,HLA-C,T.cell.CD4.,EPIC,-0.345405573,2.36E-13,0.144306746,0.002865403,-0.149654844,0.001977663,BLCA
LINC00460,MIR149,HLA-C,Endothelial.cell,EPIC,-0.193276148,6.06E-05,0.125570985,0.00955995,-0.123795157,0.010636517,BLCA
LINC00460,MIR149,HLA-C,Macrophage,EPIC,0.515091868,3.58E-30,-0.238131716,6.82E-07,0.509239968,2.02E-29,BLCA
LINC00460,MIR149,HLA-C,NK.cell,EPIC,0.434886336,4.89E-21,-0.166214662,0.000580698,0.450321708,1.30E-22,BLCA
LINC00460,MIR149,HSPA8,T.cell.CD8.,TIMER,0.405446787,3.02E-18,-0.210720205,1.18E-05,0.361163348,1.54E-14,BLCA
LINC00460,MIR149,HSPA8,Neutrophil,TIMER,0.522000309,4.44E-31,-0.210270098,1.24E-05,0.406840443,2.26E-18,BLCA
LINC00460,MIR149,HSPA8,Macrophage,TIMER,0.221688163,3.94E-06,-0.10545023,0.029737221,0.207938239,1.55E-05,BLCA
LINC00460,MIR149,HSPA8,Myeloid.dendritic.cell,TIMER,0.589566684,3.87E-41,-0.283537559,2.67E-09,0.461879445,7.59E-24,BLCA
LINC00460,MIR149,HSPA8,T.cell.regulatory..Tregs.,CIBERSORT,-0.183916384,0.000137323,0.147671256,0.00227243,-0.186631633,0.00010873,BLCA
LINC00460,MIR149,HSPA8,T.cell.CD8.,QUANTISEQ,0.322934299,9.01E-12,-0.122121409,0.011748165,0.219242784,5.06E-06,BLCA
LINC00460,MIR149,HSPA8,Myeloid.dendritic.cell,QUANTISEQ,-0.385955947,1.52E-16,0.152063821,0.001666864,-0.105225395,0.030089315,BLCA
LINC00460,MIR149,HSPA8,T.cell.CD8.,MCPCOUNTER,0.291985485,8.47E-10,-0.124042883,0.010480162,0.222501012,3.63E-06,BLCA
LINC00460,MIR149,HSPA8,cytotoxicity.score,MCPCOUNTER,0.540729075,1.22E-33,-0.278681004,5.08E-09,0.323694643,8.01E-12,BLCA
LINC00460,MIR149,HSPA8,NK.cell,MCPCOUNTER,0.45030859,1.30E-22,-0.191309082,7.22E-05,0.28640931,1.82E-09,BLCA
LINC00460,MIR149,HSPA8,Monocyte,MCPCOUNTER,0.520090149,7.95E-31,-0.263404369,3.55E-08,0.348538869,1.39E-13,BLCA
LINC00460,MIR149,HSPA8,Myeloid.dendritic.cell,MCPCOUNTER,0.280809184,3.84E-09,-0.142726848,0.003189749,0.193604915,5.88E-05,BLCA
LINC00460,MIR149,HSPA8,Cancer.associated.fibroblast,MCPCOUNTER,0.407743305,1.87E-18,-0.188195099,9.49E-05,0.176184208,0.000262215,BLCA
LINC00460,MIR149,HSPA8,Myeloid.dendritic.cell,XCELL,0.35012803,1.06E-13,-0.154813882,0.001367175,0.174511197,0.000300556,BLCA
LINC00460,MIR149,HSPA8,Eosinophil,XCELL,-0.311510426,5.13E-11,0.237535697,7.29E-07,-0.230565075,1.55E-06,BLCA
LINC00460,MIR149,HSPA8,Macrophage,XCELL,0.549383977,7.00E-35,-0.240586682,5.19E-07,0.261937978,4.25E-08,BLCA
LINC00460,MIR149,HSPA8,Monocyte,XCELL,0.42639568,3.33E-20,-0.161818057,0.000813288,0.210652227,1.19E-05,BLCA
LINC00460,MIR149,HSPA8,immune.score,XCELL,0.366608475,5.76E-15,-0.140972175,0.003588779,0.216460896,6.71E-06,BLCA
LINC00460,MIR149,HSPA8,microenvironment.score,XCELL,0.298677772,3.32E-10,-0.130620813,0.007008337,0.13301324,0.006027622,BLCA
LINC00460,MIR149,HSPA8,Cancer.associated.fibroblast,EPIC,0.387339152,1.16E-16,-0.137954224,0.004382131,0.148752403,0.002107138,BLCA
LINC00460,MIR149,HSPA8,T.cell.CD4.,EPIC,-0.345405573,2.36E-13,0.144306746,0.002865403,-0.104043082,0.032000141,BLCA
LINC00460,MIR149,HSPA8,Endothelial.cell,EPIC,-0.193276148,6.06E-05,0.125570985,0.00955995,-0.122207094,0.011688854,BLCA
LINC00460,MIR149,HSPA8,Macrophage,EPIC,0.515091868,3.58E-30,-0.238131716,6.82E-07,0.233784371,1.10E-06,BLCA
LINC00460,MIR149,HSPA8,NK.cell,EPIC,0.434886336,4.89E-21,-0.166214662,0.000580698,0.131055009,0.006820389,BLCA
LINC00460,MIR149,IFI30,T.cell.CD8.,TIMER,0.405446787,3.02E-18,-0.210720205,1.18E-05,0.292377436,8.02E-10,BLCA
LINC00460,MIR149,IFI30,Neutrophil,TIMER,0.522000309,4.44E-31,-0.210270098,1.24E-05,0.637248681,8.42E-50,BLCA
LINC00460,MIR149,IFI30,Macrophage,TIMER,0.221688163,3.94E-06,-0.10545023,0.029737221,0.245957536,2.83E-07,BLCA
LINC00460,MIR149,IFI30,Myeloid.dendritic.cell,TIMER,0.589566684,3.87E-41,-0.283537559,2.67E-09,0.597787812,1.57E-42,BLCA
LINC00460,MIR149,IFI30,T.cell.CD8.,QUANTISEQ,0.322934299,9.01E-12,-0.122121409,0.011748165,0.501044924,2.15E-28,BLCA
LINC00460,MIR149,IFI30,Myeloid.dendritic.cell,QUANTISEQ,-0.385955947,1.52E-16,0.152063821,0.001666864,-0.191514241,7.09E-05,BLCA
LINC00460,MIR149,IFI30,T.cell.CD8.,MCPCOUNTER,0.291985485,8.47E-10,-0.124042883,0.010480162,0.509737465,1.74E-29,BLCA
LINC00460,MIR149,IFI30,cytotoxicity.score,MCPCOUNTER,0.540729075,1.22E-33,-0.278681004,5.08E-09,0.637248446,8.42E-50,BLCA
LINC00460,MIR149,IFI30,NK.cell,MCPCOUNTER,0.45030859,1.30E-22,-0.191309082,7.22E-05,0.587623416,8.13E-41,BLCA
LINC00460,MIR149,IFI30,Monocyte,MCPCOUNTER,0.520090149,7.95E-31,-0.263404369,3.55E-08,0.618907356,2.71E-46,BLCA
LINC00460,MIR149,IFI30,Myeloid.dendritic.cell,MCPCOUNTER,0.280809184,3.84E-09,-0.142726848,0.003189749,0.524908281,1.82E-31,BLCA
LINC00460,MIR149,IFI30,Cancer.associated.fibroblast,MCPCOUNTER,0.407743305,1.87E-18,-0.188195099,9.49E-05,0.449899421,1.44E-22,BLCA
LINC00460,MIR149,IFI30,Myeloid.dendritic.cell,XCELL,0.35012803,1.06E-13,-0.154813882,0.001367175,0.540450976,1.33E-33,BLCA
LINC00460,MIR149,IFI30,Eosinophil,XCELL,-0.311510426,5.13E-11,0.237535697,7.29E-07,-0.141554719,0.003451547,BLCA
LINC00460,MIR149,IFI30,Macrophage,XCELL,0.549383977,7.00E-35,-0.240586682,5.19E-07,0.617579093,4.77E-46,BLCA
LINC00460,MIR149,IFI30,Monocyte,XCELL,0.42639568,3.33E-20,-0.161818057,0.000813288,0.576862173,4.57E-39,BLCA
LINC00460,MIR149,IFI30,immune.score,XCELL,0.366608475,5.76E-15,-0.140972175,0.003588779,0.636345379,1.27E-49,BLCA
LINC00460,MIR149,IFI30,microenvironment.score,XCELL,0.298677772,3.32E-10,-0.130620813,0.007008337,0.5853176,1.95E-40,BLCA
LINC00460,MIR149,IFI30,Cancer.associated.fibroblast,EPIC,0.387339152,1.16E-16,-0.137954224,0.004382131,0.411417358,8.62E-19,BLCA
LINC00460,MIR149,IFI30,T.cell.CD4.,EPIC,-0.345405573,2.36E-13,0.144306746,0.002865403,-0.220480917,4.46E-06,BLCA
LINC00460,MIR149,IFI30,Macrophage,EPIC,0.515091868,3.58E-30,-0.238131716,6.82E-07,0.66131316,8.80E-55,BLCA
LINC00460,MIR149,IFI30,NK.cell,EPIC,0.434886336,4.89E-21,-0.166214662,0.000580698,0.441088219,1.16E-21,BLCA
LINC00460,MIR149,MICB,T.cell.CD8.,TIMER,0.405446787,3.02E-18,-0.210720205,1.18E-05,0.222033126,3.81E-06,BLCA
LINC00460,MIR149,MICB,Neutrophil,TIMER,0.522000309,4.44E-31,-0.210270098,1.24E-05,0.449350956,1.64E-22,BLCA
LINC00460,MIR149,MICB,Macrophage,TIMER,0.221688163,3.94E-06,-0.10545023,0.029737221,0.26039489,5.13E-08,BLCA
LINC00460,MIR149,MICB,Myeloid.dendritic.cell,TIMER,0.589566684,3.87E-41,-0.283537559,2.67E-09,0.431334198,1.10E-20,BLCA
LINC00460,MIR149,MICB,T.cell.CD8.,QUANTISEQ,0.322934299,9.01E-12,-0.122121409,0.011748165,0.350329353,1.02E-13,BLCA
LINC00460,MIR149,MICB,T.cell.CD8.,MCPCOUNTER,0.291985485,8.47E-10,-0.124042883,0.010480162,0.333467561,1.70E-12,BLCA
LINC00460,MIR149,MICB,cytotoxicity.score,MCPCOUNTER,0.540729075,1.22E-33,-0.278681004,5.08E-09,0.414053243,4.92E-19,BLCA
LINC00460,MIR149,MICB,NK.cell,MCPCOUNTER,0.45030859,1.30E-22,-0.191309082,7.22E-05,0.359923403,1.91E-14,BLCA
LINC00460,MIR149,MICB,Monocyte,MCPCOUNTER,0.520090149,7.95E-31,-0.263404369,3.55E-08,0.426414625,3.32E-20,BLCA
LINC00460,MIR149,MICB,Myeloid.dendritic.cell,MCPCOUNTER,0.280809184,3.84E-09,-0.142726848,0.003189749,0.230026418,1.65E-06,BLCA
LINC00460,MIR149,MICB,Cancer.associated.fibroblast,MCPCOUNTER,0.407743305,1.87E-18,-0.188195099,9.49E-05,0.138679402,0.004178241,BLCA
LINC00460,MIR149,MICB,Myeloid.dendritic.cell,XCELL,0.35012803,1.06E-13,-0.154813882,0.001367175,0.274245407,9.05E-09,BLCA
LINC00460,MIR149,MICB,Eosinophil,XCELL,-0.311510426,5.13E-11,0.237535697,7.29E-07,-0.217949296,5.77E-06,BLCA
LINC00460,MIR149,MICB,Macrophage,XCELL,0.549383977,7.00E-35,-0.240586682,5.19E-07,0.349349435,1.21E-13,BLCA
LINC00460,MIR149,MICB,Monocyte,XCELL,0.42639568,3.33E-20,-0.161818057,0.000813288,0.211299924,1.12E-05,BLCA
LINC00460,MIR149,MICB,immune.score,XCELL,0.366608475,5.76E-15,-0.140972175,0.003588779,0.270230417,1.51E-08,BLCA
LINC00460,MIR149,MICB,microenvironment.score,XCELL,0.298677772,3.32E-10,-0.130620813,0.007008337,0.16403339,0.000687046,BLCA
LINC00460,MIR149,MICB,Cancer.associated.fibroblast,EPIC,0.387339152,1.16E-16,-0.137954224,0.004382131,0.191556487,7.06E-05,BLCA
LINC00460,MIR149,MICB,T.cell.CD4.,EPIC,-0.345405573,2.36E-13,0.144306746,0.002865403,-0.134550499,0.005464343,BLCA
LINC00460,MIR149,MICB,Endothelial.cell,EPIC,-0.193276148,6.06E-05,0.125570985,0.00955995,-0.172075941,0.000365796,BLCA
LINC00460,MIR149,MICB,Macrophage,EPIC,0.515091868,3.58E-30,-0.238131716,6.82E-07,0.388824624,8.65E-17,BLCA
LINC00460,MIR149,MICB,NK.cell,EPIC,0.434886336,4.89E-21,-0.166214662,0.000580698,0.304190493,1.50E-10,BLCA
LINC00460,MIR149,PLXND1,T.cell.CD8.,TIMER,0.405446787,3.02E-18,-0.210720205,1.18E-05,0.39103695,5.60E-17,BLCA
LINC00460,MIR149,PLXND1,Neutrophil,TIMER,0.522000309,4.44E-31,-0.210270098,1.24E-05,0.470282628,8.98E-25,BLCA
LINC00460,MIR149,PLXND1,Macrophage,TIMER,0.221688163,3.94E-06,-0.10545023,0.029737221,0.49409323,1.53E-27,BLCA
LINC00460,MIR149,PLXND1,Myeloid.dendritic.cell,TIMER,0.589566684,3.87E-41,-0.283537559,2.67E-09,0.612811899,3.54E-45,BLCA
LINC00460,MIR149,PLXND1,T.cell.CD8.,QUANTISEQ,0.322934299,9.01E-12,-0.122121409,0.011748165,0.329179205,3.37E-12,BLCA
LINC00460,MIR149,PLXND1,T.cell.CD8.,MCPCOUNTER,0.291985485,8.47E-10,-0.124042883,0.010480162,0.321886843,1.06E-11,BLCA
LINC00460,MIR149,PLXND1,cytotoxicity.score,MCPCOUNTER,0.540729075,1.22E-33,-0.278681004,5.08E-09,0.33347126,1.70E-12,BLCA
LINC00460,MIR149,PLXND1,NK.cell,MCPCOUNTER,0.45030859,1.30E-22,-0.191309082,7.22E-05,0.364343062,8.68E-15,BLCA
LINC00460,MIR149,PLXND1,Monocyte,MCPCOUNTER,0.520090149,7.95E-31,-0.263404369,3.55E-08,0.476303325,1.88E-25,BLCA
LINC00460,MIR149,PLXND1,Myeloid.dendritic.cell,MCPCOUNTER,0.280809184,3.84E-09,-0.142726848,0.003189749,0.43319254,7.20E-21,BLCA
LINC00460,MIR149,PLXND1,Cancer.associated.fibroblast,MCPCOUNTER,0.407743305,1.87E-18,-0.188195099,9.49E-05,0.650212753,1.99E-52,BLCA
LINC00460,MIR149,PLXND1,Myeloid.dendritic.cell,XCELL,0.35012803,1.06E-13,-0.154813882,0.001367175,0.430755641,1.25E-20,BLCA
LINC00460,MIR149,PLXND1,Eosinophil,XCELL,-0.311510426,5.13E-11,0.237535697,7.29E-07,-0.17964344,0.000196974,BLCA
LINC00460,MIR149,PLXND1,Macrophage,XCELL,0.549383977,7.00E-35,-0.240586682,5.19E-07,0.491777888,2.90E-27,BLCA
LINC00460,MIR149,PLXND1,Monocyte,XCELL,0.42639568,3.33E-20,-0.161818057,0.000813288,0.428744254,1.97E-20,BLCA
LINC00460,MIR149,PLXND1,immune.score,XCELL,0.366608475,5.76E-15,-0.140972175,0.003588779,0.386970502,1.24E-16,BLCA
LINC00460,MIR149,PLXND1,microenvironment.score,XCELL,0.298677772,3.32E-10,-0.130620813,0.007008337,0.543951478,4.24E-34,BLCA
LINC00460,MIR149,PLXND1,Cancer.associated.fibroblast,EPIC,0.387339152,1.16E-16,-0.137954224,0.004382131,0.609918869,1.17E-44,BLCA
LINC00460,MIR149,PLXND1,T.cell.CD4.,EPIC,-0.345405573,2.36E-13,0.144306746,0.002865403,-0.398380047,1.29E-17,BLCA
LINC00460,MIR149,PLXND1,Endothelial.cell,EPIC,-0.193276148,6.06E-05,0.125570985,0.00955995,0.328240765,3.92E-12,BLCA
LINC00460,MIR149,PLXND1,Macrophage,EPIC,0.515091868,3.58E-30,-0.238131716,6.82E-07,0.557596255,4.31E-36,BLCA
LINC00460,MIR149,PLXND1,NK.cell,EPIC,0.434886336,4.89E-21,-0.166214662,0.000580698,0.363723562,9.71E-15,BLCA
LINC00460,MIR149,PSMD1,T.cell.CD8.,TIMER,0.405446787,3.02E-18,-0.210720205,1.18E-05,0.430945277,1.20E-20,BLCA
LINC00460,MIR149,PSMD1,Neutrophil,TIMER,0.522000309,4.44E-31,-0.210270098,1.24E-05,0.46976927,1.02E-24,BLCA
LINC00460,MIR149,PSMD1,Macrophage,TIMER,0.221688163,3.94E-06,-0.10545023,0.029737221,0.265874084,2.61E-08,BLCA
LINC00460,MIR149,PSMD1,Myeloid.dendritic.cell,TIMER,0.589566684,3.87E-41,-0.283537559,2.67E-09,0.501584155,1.85E-28,BLCA
LINC00460,MIR149,PSMD1,T.cell.regulatory..Tregs.,CIBERSORT,-0.183916384,0.000137323,0.147671256,0.00227243,-0.27315137,1.04E-08,BLCA
LINC00460,MIR149,PSMD1,T.cell.CD8.,QUANTISEQ,0.322934299,9.01E-12,-0.122121409,0.011748165,0.157734182,0.001103783,BLCA
LINC00460,MIR149,PSMD1,Myeloid.dendritic.cell,QUANTISEQ,-0.385955947,1.52E-16,0.152063821,0.001666864,-0.100744717,0.037887181,BLCA
LINC00460,MIR149,PSMD1,T.cell.CD8.,MCPCOUNTER,0.291985485,8.47E-10,-0.124042883,0.010480162,0.188409778,9.31E-05,BLCA
LINC00460,MIR149,PSMD1,cytotoxicity.score,MCPCOUNTER,0.540729075,1.22E-33,-0.278681004,5.08E-09,0.348963749,1.29E-13,BLCA
LINC00460,MIR149,PSMD1,NK.cell,MCPCOUNTER,0.45030859,1.30E-22,-0.191309082,7.22E-05,0.309789123,6.62E-11,BLCA
LINC00460,MIR149,PSMD1,Monocyte,MCPCOUNTER,0.520090149,7.95E-31,-0.263404369,3.55E-08,0.445549702,4.07E-22,BLCA
LINC00460,MIR149,PSMD1,Myeloid.dendritic.cell,MCPCOUNTER,0.280809184,3.84E-09,-0.142726848,0.003189749,0.17932485,0.000202277,BLCA
LINC00460,MIR149,PSMD1,Cancer.associated.fibroblast,MCPCOUNTER,0.407743305,1.87E-18,-0.188195099,9.49E-05,0.230316706,1.60E-06,BLCA
LINC00460,MIR149,PSMD1,Myeloid.dendritic.cell,XCELL,0.35012803,1.06E-13,-0.154813882,0.001367175,0.119196677,0.013938782,BLCA
LINC00460,MIR149,PSMD1,Eosinophil,XCELL,-0.311510426,5.13E-11,0.237535697,7.29E-07,-0.355356143,4.28E-14,BLCA
LINC00460,MIR149,PSMD1,Macrophage,XCELL,0.549383977,7.00E-35,-0.240586682,5.19E-07,0.285443753,2.07E-09,BLCA
LINC00460,MIR149,PSMD1,Monocyte,XCELL,0.42639568,3.33E-20,-0.161818057,0.000813288,0.196633433,4.47E-05,BLCA
LINC00460,MIR149,PSMD1,immune.score,XCELL,0.366608475,5.76E-15,-0.140972175,0.003588779,0.152108612,0.001661535,BLCA
LINC00460,MIR149,PSMD1,Cancer.associated.fibroblast,EPIC,0.387339152,1.16E-16,-0.137954224,0.004382131,0.18609026,0.000113941,BLCA
LINC00460,MIR149,PSMD1,T.cell.CD4.,EPIC,-0.345405573,2.36E-13,0.144306746,0.002865403,-0.161407982,0.000838888,BLCA
LINC00460,MIR149,PSMD1,T.cell.CD8.,EPIC,-0.217397844,6.10E-06,0.212901244,9.56E-06,-0.105382126,0.029843498,BLCA
LINC00460,MIR149,PSMD1,Endothelial.cell,EPIC,-0.193276148,6.06E-05,0.125570985,0.00955995,-0.195330697,5.03E-05,BLCA
LINC00460,MIR149,PSMD1,Macrophage,EPIC,0.515091868,3.58E-30,-0.238131716,6.82E-07,0.260482562,5.08E-08,BLCA
LINC00460,MIR149,PSMD1,NK.cell,EPIC,0.434886336,4.89E-21,-0.166214662,0.000580698,0.183049507,0.000147847,BLCA
LINC00460,MIR149,S1PR2,T.cell.CD8.,TIMER,0.405446787,3.02E-18,-0.210720205,1.18E-05,0.339179837,6.68E-13,BLCA
LINC00460,MIR149,S1PR2,Neutrophil,TIMER,0.522000309,4.44E-31,-0.210270098,1.24E-05,0.513941025,5.04E-30,BLCA
LINC00460,MIR149,S1PR2,Macrophage,TIMER,0.221688163,3.94E-06,-0.10545023,0.029737221,0.345350969,2.39E-13,BLCA
LINC00460,MIR149,S1PR2,Myeloid.dendritic.cell,TIMER,0.589566684,3.87E-41,-0.283537559,2.67E-09,0.588993786,4.82E-41,BLCA
LINC00460,MIR149,S1PR2,T.cell.CD8.,QUANTISEQ,0.322934299,9.01E-12,-0.122121409,0.011748165,0.368557485,4.04E-15,BLCA
LINC00460,MIR149,S1PR2,T.cell.CD8.,MCPCOUNTER,0.291985485,8.47E-10,-0.124042883,0.010480162,0.372878799,1.82E-15,BLCA
LINC00460,MIR149,S1PR2,cytotoxicity.score,MCPCOUNTER,0.540729075,1.22E-33,-0.278681004,5.08E-09,0.391414641,5.19E-17,BLCA
LINC00460,MIR149,S1PR2,NK.cell,MCPCOUNTER,0.45030859,1.30E-22,-0.191309082,7.22E-05,0.396139125,2.02E-17,BLCA
LINC00460,MIR149,S1PR2,Monocyte,MCPCOUNTER,0.520090149,7.95E-31,-0.263404369,3.55E-08,0.352403134,7.15E-14,BLCA
LINC00460,MIR149,S1PR2,Myeloid.dendritic.cell,MCPCOUNTER,0.280809184,3.84E-09,-0.142726848,0.003189749,0.4173979,2.40E-19,BLCA
LINC00460,MIR149,S1PR2,Cancer.associated.fibroblast,MCPCOUNTER,0.407743305,1.87E-18,-0.188195099,9.49E-05,0.534192624,9.94E-33,BLCA
LINC00460,MIR149,S1PR2,Myeloid.dendritic.cell,XCELL,0.35012803,1.06E-13,-0.154813882,0.001367175,0.441538536,1.05E-21,BLCA
LINC00460,MIR149,S1PR2,Eosinophil,XCELL,-0.311510426,5.13E-11,0.237535697,7.29E-07,-0.19398815,5.68E-05,BLCA
LINC00460,MIR149,S1PR2,Macrophage,XCELL,0.549383977,7.00E-35,-0.240586682,5.19E-07,0.408278969,1.67E-18,BLCA
LINC00460,MIR149,S1PR2,Monocyte,XCELL,0.42639568,3.33E-20,-0.161818057,0.000813288,0.424064708,5.59E-20,BLCA
LINC00460,MIR149,S1PR2,immune.score,XCELL,0.366608475,5.76E-15,-0.140972175,0.003588779,0.440062624,1.48E-21,BLCA
LINC00460,MIR149,S1PR2,microenvironment.score,XCELL,0.298677772,3.32E-10,-0.130620813,0.007008337,0.529316899,4.63E-32,BLCA
LINC00460,MIR149,S1PR2,Cancer.associated.fibroblast,EPIC,0.387339152,1.16E-16,-0.137954224,0.004382131,0.462489271,6.51E-24,BLCA
LINC00460,MIR149,S1PR2,T.cell.CD4.,EPIC,-0.345405573,2.36E-13,0.144306746,0.002865403,-0.373598598,1.59E-15,BLCA
LINC00460,MIR149,S1PR2,Endothelial.cell,EPIC,-0.193276148,6.06E-05,0.125570985,0.00955995,0.156078932,0.001246688,BLCA
LINC00460,MIR149,S1PR2,Macrophage,EPIC,0.515091868,3.58E-30,-0.238131716,6.82E-07,0.525991407,1.30E-31,BLCA
LINC00460,MIR149,S1PR2,NK.cell,EPIC,0.434886336,4.89E-21,-0.166214662,0.000580698,0.360774818,1.65E-14,BLCA
LINC00943,MIR149,BIRC5,T.cell.CD8.,TIMER,0.300792672,2.45E-10,-0.210720205,1.18E-05,0.166459854,0.000569751,BLCA
LINC00943,MIR149,BIRC5,Neutrophil,TIMER,0.53342651,1.27E-32,-0.210270098,1.24E-05,0.142914915,0.003149464,BLCA
LINC00943,MIR149,BIRC5,Macrophage,TIMER,0.180546778,0.000182634,-0.10545023,0.029737221,0.156743444,0.001187387,BLCA
LINC00943,MIR149,BIRC5,Myeloid.dendritic.cell,TIMER,0.493639375,1.73E-27,-0.283537559,2.67E-09,0.233903019,1.08E-06,BLCA
LINC00943,MIR149,BIRC5,T.cell.regulatory..Tregs.,CIBERSORT,-0.161254119,0.000848684,0.147671256,0.00227243,-0.103371246,0.033131437,BLCA
LINC00943,MIR149,BIRC5,T.cell.CD8.,QUANTISEQ,0.466047892,2.65E-24,-0.122121409,0.011748165,0.121741695,0.012014211,BLCA
LINC00943,MIR149,BIRC5,T.cell.CD8.,MCPCOUNTER,0.468330808,1.48E-24,-0.124042883,0.010480162,0.121949496,0.011867963,BLCA
LINC00943,MIR149,BIRC5,cytotoxicity.score,MCPCOUNTER,0.559602047,2.16E-36,-0.278681004,5.08E-09,0.248124619,2.20E-07,BLCA
LINC00943,MIR149,BIRC5,NK.cell,MCPCOUNTER,0.475586899,2.26E-25,-0.191309082,7.22E-05,0.218425849,5.50E-06,BLCA
LINC00943,MIR149,BIRC5,Monocyte,MCPCOUNTER,0.460233147,1.14E-23,-0.263404369,3.55E-08,0.200394554,3.16E-05,BLCA
LINC00943,MIR149,BIRC5,Myeloid.dendritic.cell,MCPCOUNTER,0.374449189,1.36E-15,-0.142726848,0.003189749,-0.0983319,0.042753896,BLCA
LINC00943,MIR149,BIRC5,Eosinophil,XCELL,-0.257836205,7.00E-08,0.237535697,7.29E-07,-0.34207911,4.13E-13,BLCA
LINC00943,MIR149,BIRC5,Macrophage,XCELL,0.421793879,9.21E-20,-0.240586682,5.19E-07,0.188806884,9.00E-05,BLCA
LINC00943,MIR149,BIRC5,microenvironment.score,XCELL,0.340077323,5.76E-13,-0.130620813,0.007008337,-0.130425974,0.007094172,BLCA
LINC00943,MIR149,BIRC5,T.cell.CD4.,EPIC,-0.138781499,0.004150235,0.144306746,0.002865403,-0.334269122,1.49E-12,BLCA
LINC00943,MIR149,BIRC5,Endothelial.cell,EPIC,-0.174990553,0.000289067,0.125570985,0.00955995,-0.368084601,4.40E-15,BLCA
LINC00943,MIR149,BIRC5,Macrophage,EPIC,0.438531059,2.11E-21,-0.238131716,6.82E-07,0.205601913,1.94E-05,BLCA
LINC00943,MIR149,BIRC5,NK.cell,EPIC,0.325106861,6.42E-12,-0.166214662,0.000580698,0.266308171,2.48E-08,BLCA
LINC00943,MIR149,CD3D,T.cell.CD8.,TIMER,0.300792672,2.45E-10,-0.210720205,1.18E-05,0.318354963,1.83E-11,BLCA
LINC00943,MIR149,CD3D,Neutrophil,TIMER,0.53342651,1.27E-32,-0.210270098,1.24E-05,0.645079671,2.26E-51,BLCA
LINC00943,MIR149,CD3D,Macrophage,TIMER,0.180546778,0.000182634,-0.10545023,0.029737221,0.103935747,0.032178637,BLCA
LINC00943,MIR149,CD3D,Myeloid.dendritic.cell,TIMER,0.493639375,1.73E-27,-0.283537559,2.67E-09,0.633644176,4.30E-49,BLCA
LINC00943,MIR149,CD3D,T.cell.CD8.,QUANTISEQ,0.466047892,2.65E-24,-0.122121409,0.011748165,0.695173046,1.26E-62,BLCA
LINC00943,MIR149,CD3D,Myeloid.dendritic.cell,QUANTISEQ,-0.280468232,4.02E-09,0.152063821,0.001666864,-0.172313446,0.000358896,BLCA
LINC00943,MIR149,CD3D,T.cell.CD8.,MCPCOUNTER,0.468330808,1.48E-24,-0.124042883,0.010480162,0.690996446,1.34E-61,BLCA
LINC00943,MIR149,CD3D,cytotoxicity.score,MCPCOUNTER,0.559602047,2.16E-36,-0.278681004,5.08E-09,0.767081129,1.45E-83,BLCA
LINC00943,MIR149,CD3D,NK.cell,MCPCOUNTER,0.475586899,2.26E-25,-0.191309082,7.22E-05,0.637725479,6.77E-50,BLCA
LINC00943,MIR149,CD3D,Monocyte,MCPCOUNTER,0.460233147,1.14E-23,-0.263404369,3.55E-08,0.572458324,2.28E-38,BLCA
LINC00943,MIR149,CD3D,Myeloid.dendritic.cell,MCPCOUNTER,0.374449189,1.36E-15,-0.142726848,0.003189749,0.608331924,2.26E-44,BLCA
LINC00943,MIR149,CD3D,Cancer.associated.fibroblast,MCPCOUNTER,0.258471302,6.48E-08,-0.188195099,9.49E-05,0.365626939,6.88E-15,BLCA
